#Parameters = {chamferAngle=45; chamferWidth=23; feedLength=30; outletLength=30; polarizerLength=126; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Axial ratio (mode 2, boresight) [Real Part]"
#---------------------------------------------------------------
4.7000000000000	2.6794447494550
4.7500000000000	2.3061975722364
4.8000000000000	1.9584155323455
4.8500000000000	1.6334416787423
4.9000000000000	1.3282775802595
4.9500000000000	1.0402000218409
5.0000000000000	0.76702327893746
5.0500000000000	0.50718052815540
5.1000000000000	0.25964443995156
5.1500000000000	0.025085036570109
5.2000000000000	0.20155776414686
5.2500000000000	0.41542433323050
5.3000000000000	0.61882545440540
5.3500000000000	0.81230189800478
5.4000000000000	0.99675780195675
5.4500000000000	1.1736362448569
5.5000000000000	1.3449226311316
5.5500000000000	1.5129701584002
5.6000000000000	1.6800650128929
5.6500000000000	1.8476418613419
5.7000000000000	2.0153137976885
