#Parameters = {chamferAngle=45; chamferWidth=23; feedLength=30; outletLength=30; polarizerLength=126; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Axial ratio (mode 1, boresight) [Real Part]"
#---------------------------------------------------------------
4.7000000000000	2.6794319366344
4.7500000000000	2.3061942440874
4.8000000000000	1.9584119769069
4.8500000000000	1.6334428340656
4.9000000000000	1.3282801614082
4.9500000000000	1.0401979970560
5.0000000000000	0.76702019216831
5.0500000000000	0.50718008069883
5.1000000000000	0.25964395099718
5.1500000000000	0.025082809794548
5.2000000000000	0.20155541683277
5.2500000000000	0.41542408415358
5.3000000000000	0.61882931210438
5.3500000000000	0.81230458371858
5.4000000000000	0.99675871812650
5.4500000000000	1.1736365189360
5.5000000000000	1.3449197201048
5.5500000000000	1.5129686924559
5.6000000000000	1.6800617865479
5.6500000000000	1.8476462204848
5.7000000000000	2.0153291802332
