#Parameters = {airCoaxOuterDiameter=3; connectorLength=10; drillingHoleDiameter=4.1; feedLength=120; gratingDistance=60.813259168621; gratingGap=7; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=14.3; probe2Length=11.96697; smaInnerDiameter=1.3; smaOuterDiameter=4.1; waveguideSide=50; waveguideThickness=3; wireCount=7; wireDiameter=2}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.6999998092651	-1.6348043964526
4.7010002136230	-1.6980773315107
4.7020001411438	-1.7636906536954
4.7030000686646	-1.8316024032682
4.7039999961853	-1.9017629069094
4.7049999237061	-1.9741212910321
4.7059998512268	-2.0486249490666
4.7069997787476	-2.1252179893141
4.7080001831055	-2.2038424947804
4.7090001106262	-2.2844385494098
4.7100000381470	-2.3669421722104
4.7109999656677	-2.4512855389926
4.7119998931885	-2.5373960728630
4.7129998207092	-2.6252053977444
4.7140002250671	-2.7146319952481
4.7150001525879	-2.8055976137764
4.7160000801086	-2.8980178641062
4.7170000076294	-2.9918067475838
4.7179999351501	-3.0868738879596
4.7189998626709	-3.1831212724429
4.7199997901917	-3.2804549265569
4.7210001945496	-3.3787720312529
4.7220001220703	-3.4779692077648
4.7230000495911	-3.5779366593071
4.7239999771118	-3.6785644201853
4.7249999046326	-3.7797380785482
4.7259998321533	-3.8813413302807
4.7270002365112	-3.9832555547630
4.7280001640320	-4.0853584594873
4.7290000915527	-4.1875275153140
4.7300000190735	-4.2896380320724
4.7309999465942	-4.3915652440942
4.7319998741150	-4.4931808536960
4.7329998016357	-4.5943614402666
4.7340002059937	-4.6949829171897
4.7350001335144	-4.7949178422324
4.7360000610352	-4.8940455663066
4.7369999885559	-4.9922485872472
4.7379999160767	-5.0894079576221
4.7389998435974	-5.1854135604780
4.7399997711182	-5.2801576865746
4.7410001754761	-5.3735388815829
4.7420001029968	-5.4654607214862
4.7430000305176	-5.5558332385926
4.7439999580383	-5.6445792441347
4.7449998855591	-5.7316214136132
4.7459998130798	-5.8168978404486
4.7470002174377	-5.9003522517158
4.7480001449585	-5.9819401157966
4.7490000724792	-6.0616252427262
4.7500000000000	-6.1393836295800
4.7509999275208	-6.2152001884819
4.7519998550415	-6.2890701765593
4.7529997825623	-6.3610013680852
4.7540001869202	-6.4310086895514
4.7550001144409	-6.4991203000626
4.7560000419617	-6.5653732935047
4.7569999694824	-6.6298138352726
4.7579998970032	-6.6924960701103
4.7589998245239	-6.7534866779750
4.7600002288818	-6.8128552574200
4.7610001564026	-6.8706821702896
4.7620000839233	-6.9270518399982
