#Parameters = {airCoaxOuterDiameter=3; connectorLength=10; drillingHoleDiameter=4.1; feedLength=120; gratingDistance=17.64; gratingGap=7; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=14.3; probe2Length=11.96697; smaInnerDiameter=1.3; smaOuterDiameter=4.1; waveguideSide=50; waveguideThickness=3; wireCount=7; wireDiameter=2}
#"Frequency / GHz"	"S1,1 (gratingDistance=17.64) [Magnitude / dB]"
#-----------------------------------------------------------------
4.6999998092651	-10.754344498155
4.7010002136230	-10.774501721873
4.7020001411438	-10.794809152367
4.7030000686646	-10.815273062837
4.7039999961853	-10.835892727681
4.7049999237061	-10.856669933250
4.7059998512268	-10.877606424763
4.7069997787476	-10.898703043936
4.7080001831055	-10.919961299576
4.7090001106262	-10.941385189505
4.7100000381470	-10.962973024286
4.7109999656677	-10.984728134084
4.7119998931885	-11.006652285405
4.7129998207092	-11.028746347660
4.7140002250671	-11.051012071334
4.7150001525879	-11.073450668171
4.7160000801086	-11.096063472236
4.7170000076294	-11.118853741325
4.7179999351501	-11.141822089874
4.7189998626709	-11.164968077012
4.7199997901917	-11.188296160088
4.7210001945496	-11.211805788523
4.7220001220703	-11.235498531106
4.7230000495911	-11.259377784942
4.7239999771118	-11.283443229318
4.7249999046326	-11.307697305543
4.7259998321533	-11.332141959416
4.7270002365112	-11.356777370563
4.7280001640320	-11.381604449854
4.7290000915527	-11.406628682300
4.7300000190735	-11.431846678763
4.7309999465942	-11.457263198766
4.7319998741150	-11.482876962455
4.7329998016357	-11.508692896809
4.7340002059937	-11.534709962078
4.7350001335144	-11.560930790340
4.7360000610352	-11.587356481871
4.7369999885559	-11.613987742287
4.7379999160767	-11.640827567429
4.7389998435974	-11.667875351193
4.7399997711182	-11.695137004847
4.7410001754761	-11.722608921209
4.7420001029968	-11.750294504648
4.7430000305176	-11.778197847113
4.7439999580383	-11.806315053095
4.7449998855591	-11.834652594368
4.7459998130798	-11.863209640338
4.7470002174377	-11.891988154610
4.7480001449585	-11.920989892988
4.7490000724792	-11.950215751465
4.7500000000000	-11.979668184790
4.7509999275208	-12.009347128712
4.7519998550415	-12.039256080044
4.7529997825623	-12.069394681895
4.7540001869202	-12.099766417660
4.7550001144409	-12.130372298049
4.7560000419617	-12.161213643904
4.7569999694824	-12.192290068404
4.7579998970032	-12.223606673785
4.7589998245239	-12.255163014163
4.7600002288818	-12.286961388983
4.7610001564026	-12.319000979354
4.7620000839233	-12.351286445304
4.7630000114441	-12.383819309014
4.7639999389648	-12.416599852493
4.7649998664856	-12.449629410995
4.7659997940063	-12.482910317262
4.7670001983643	-12.516444537351
4.7680001258850	-12.550232852041
4.7690000534058	-12.584277946122
4.7699999809265	-12.618581027072
4.7709999084473	-12.653143085084
4.7719998359680	-12.687967484085
4.7729997634888	-12.723053896299
4.7740001678467	-12.758405031449
4.7750000953674	-12.794022896766
4.7760000228882	-12.829910032084
4.7769999504089	-12.866065470142
4.7779998779297	-12.902492394377
4.7789998054504	-12.939193551743
4.7800002098083	-12.976169971433
4.7810001373291	-13.013423264637
4.7820000648499	-13.050955940416
4.7829999923706	-13.088769307172
4.7839999198914	-13.126864962824
4.7849998474121	-13.165245523357
4.7859997749329	-13.203912381950
4.7870001792908	-13.242867589750
4.7880001068115	-13.282112559393
4.7890000343323	-13.321650691996
