#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (1) [Real Part]"
#-----------------------------------------------------------
4.6000000000000	8.4968680206012
4.6700000000000	4.2554532870936
4.7400000000000	6.7049255158515
4.8100000000000	7.5793079106769
4.8800000000000	6.6768002055425
4.9500000000000	7.3846708630197
5.0200000000000	8.4425433153874
5.0900000000000	7.9124941022486
5.1600000000000	5.9249102756982
5.2300000000000	6.8215887831982
5.3000000000000	7.9059179747997
5.3700000000000	7.8331061582084
5.4400000000000	7.2249315177528
5.5100000000000	6.8186819745390
5.5800000000000	6.3874891210839
5.6500000000000	7.1288972634381
5.7200000000000	7.5652558404842
5.7900000000000	7.4378944224311
5.8600000000000	7.4918846756299
5.9300000000000	7.0086475060556
6.0000000000000	6.5173389128358
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=14; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (12) [Real Part]"
#------------------------------------------------------------
4.6000000000000	4.8937050392383
4.6700000000000	6.0455227359145
4.7400000000000	6.7522800755658
4.8100000000000	4.7170375954813
4.8800000000000	4.2394549648966
4.9500000000000	5.8640872037137
5.0200000000000	6.4977577805944
5.0900000000000	5.8752380036313
5.1600000000000	4.1424853795085
5.2300000000000	4.9431165153278
5.3000000000000	5.8681597198631
5.3700000000000	6.0542606340591
5.4400000000000	5.4666615063511
5.5100000000000	3.8233229191615
5.5800000000000	4.0619580980204
5.6500000000000	5.8347220736050
5.7200000000000	6.6778623357052
5.7900000000000	6.6974654523819
5.8600000000000	5.9006575044581
5.9300000000000	4.1261653901800
6.0000000000000	3.6205201009909
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=16; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (13) [Real Part]"
#------------------------------------------------------------
4.6000000000000	7.7769450432731
4.6700000000000	5.6625961947644
4.7400000000000	7.0133284373527
4.8100000000000	6.0850060137523
4.8800000000000	5.3838706071022
4.9500000000000	5.5565726018157
5.0200000000000	6.7497699952981
5.0900000000000	6.6365397083183
5.1600000000000	5.1902070336202
5.2300000000000	5.2452633689374
5.3000000000000	5.8892827208120
5.3700000000000	6.3819187984085
5.4400000000000	6.1005862360422
5.5100000000000	4.6838501344530
5.5800000000000	4.2896056361158
5.6500000000000	5.7995204798637
5.7200000000000	6.8044016906140
5.7900000000000	7.0194408090014
5.8600000000000	6.4810474270070
5.9300000000000	4.9948117338201
6.0000000000000	3.7449516654107
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=18; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (14) [Real Part]"
#------------------------------------------------------------
4.6000000000000	7.2262987305233
4.6700000000000	8.2446635039166
4.7400000000000	6.1369658917761
4.8100000000000	6.7368622904912
4.8800000000000	6.7464553436054
4.9500000000000	6.2089558811606
5.0200000000000	6.5442527413983
5.0900000000000	7.0562647939230
5.1600000000000	6.0595887943273
5.2300000000000	6.0576871449232
5.3000000000000	6.1060575035811
5.3700000000000	6.5499894559619
5.4400000000000	6.5636654888211
5.5100000000000	5.5291488266187
5.5800000000000	4.8968057933269
5.6500000000000	5.9354526302811
5.7200000000000	6.8382933882355
5.7900000000000	7.2874147855460
5.8600000000000	7.0218569248053
5.9300000000000	5.7617756238246
6.0000000000000	4.2031002644430
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=20; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (15) [Real Part]"
#------------------------------------------------------------
4.6000000000000	4.3426387368263
4.6700000000000	8.3619706496087
4.7400000000000	8.3067385330812
4.8100000000000	5.8822837123950
4.8800000000000	7.2571148278973
4.9500000000000	7.6263895051425
5.0200000000000	6.8138106174335
5.0900000000000	6.9480970337338
5.1600000000000	6.4882824915372
5.2300000000000	6.8764059428556
5.3000000000000	6.7996015146753
5.3700000000000	6.6870905526080
5.4400000000000	6.8139287386028
5.5100000000000	6.2128416189798
5.5800000000000	5.5856050028247
5.6500000000000	6.3265481136610
5.7200000000000	6.9433521835968
5.7900000000000	7.4170357557446
5.8600000000000	7.3851968199112
5.9300000000000	6.4415767049689
6.0000000000000	4.9090234449216
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=22; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (16) [Real Part]"
#------------------------------------------------------------
4.6000000000000	6.5793098328488
4.6700000000000	6.6018969261329
4.7400000000000	8.3715501450258
4.8100000000000	7.9014229197584
4.8800000000000	5.8603033696778
4.9500000000000	8.1737425742268
5.0200000000000	8.0374591496184
5.0900000000000	6.8883883571785
5.1600000000000	6.3250069077523
5.2300000000000	7.2407306566014
5.3000000000000	7.5822450980988
5.3700000000000	7.1827680213156
5.4400000000000	6.9377026981321
5.5100000000000	6.6690310646606
5.5800000000000	6.1154885451238
