#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (1) [Real Part]"
#---------------------------------------------------------
4.6000000000000	3.7776383079236
4.6700000000000	39.871782607535
4.7400000000000	16.086470655220
4.8100000000000	9.1963337639046
4.8800000000000	4.5054198336787
4.9500000000000	3.7581820876168
5.0200000000000	2.0628689560759
5.0900000000000	1.7344090413657
5.1600000000000	3.8867009926052
5.2300000000000	1.1869558950095
5.3000000000000	0.72127871701016
5.3700000000000	2.2327883124356
5.4400000000000	3.4090272032898
5.5100000000000	2.7647471678029
5.5800000000000	0.15996502926580
5.6500000000000	3.2205604153998
5.7200000000000	4.4796928472701
5.7900000000000	4.8601483047168
5.8600000000000	4.4322262526477
5.9300000000000	2.8130470908821
6.0000000000000	0.38650190407386
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=30; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (131) [Real Part]"
#-----------------------------------------------------------
4.6000000000000	3.3694768262160
4.6700000000000	2.3990908614968
4.7400000000000	1.8308405365009
4.8100000000000	2.6943930735320
4.8800000000000	8.5941765452071
4.9500000000000	1.9619289569944
5.0200000000000	5.4538649869177
5.0900000000000	5.5513271324677
5.1600000000000	2.6862962383219
5.2300000000000	3.2022901115264
5.3000000000000	5.2910359887799
5.3700000000000	5.8197507564014
5.4400000000000	3.2988073095354
5.5100000000000	1.3204699299937
5.5800000000000	4.1110678602934
5.6500000000000	5.5036520236476
5.7200000000000	5.9290760851178
5.7900000000000	5.2660188847009
5.8600000000000	4.2550190557366
