#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight LHCP (Port 1) (1) [Real Part]"
#-----------------------------------------------------------
4.6000000000000	-4.8910328294702
4.6700000000000	4.4317605012478
4.7400000000000	3.9562464655548
4.8100000000000	1.2925255883290
4.8800000000000	-5.2371294757577
4.9500000000000	-6.0467047054007
5.0200000000000	-10.105603154798
5.0900000000000	-12.130155177186
5.1600000000000	-7.2236165826208
5.2300000000000	-16.500107721672
5.3000000000000	-19.733894986228
5.3700000000000	-10.034475284472
5.4400000000000	-7.0298516074052
5.5100000000000	-9.2180009533418
5.5800000000000	-34.329141432345
5.6500000000000	-7.6080795222937
5.7200000000000	-4.3962639712586
5.7900000000000	-3.8485739393126
5.8600000000000	-4.5582242135617
5.9300000000000	-8.8801577740693
6.0000000000000	-26.537947421661
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=35; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight LHCP (Port 1) (22) [Real Part]"
#------------------------------------------------------------
4.6000000000000	-0.089809429682658
4.6700000000000	4.4082233229254
4.7400000000000	1.4611905961586
4.8100000000000	-2.6485105510922
4.8800000000000	-12.023686385679
4.9500000000000	-12.004158069165
5.0200000000000	-22.678724222001
5.0900000000000	-11.651250518329
5.1600000000000	-9.4172420317703
5.2300000000000	-11.638608512655
5.3000000000000	-9.6423679108805
5.3700000000000	-7.8619379138522
5.4400000000000	-9.5539791938888
5.5100000000000	-20.635185735448
5.5800000000000	-11.360685700943
5.6500000000000	-5.2941102773872
5.7200000000000	-4.4413098100239
5.7900000000000	-5.6426675081544
5.8600000000000	-8.9990101461765
5.9300000000000	-16.376036859118
6.0000000000000	-9.6328151056460
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=37; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight LHCP (Port 1) (23) [Real Part]"
#------------------------------------------------------------
4.6000000000000	-1.1882246069655
4.6700000000000	4.7707989383568
4.7400000000000	2.4305252004895
4.8100000000000	-0.96611991872040
4.8800000000000	-13.865554445765
