#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=130; flareDiameter=130; flareLength=70; gratingDistance=60.81; gratingGap=5.2; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=11.81; probe2Length=12.71; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=9; wireDiameter=2}
#"Frequency / GHz"	"Boresight AR (Port 1) [Real Part]"
#-----------------------------------------------------
4.7000000000000	4.8695959673026
4.7500000000000	1.1742034017042
4.8000000000000	1.2857972728356
4.8500000000000	3.0918539165657
4.9000000000000	2.5014766327282
4.9500000000000	2.3237531665644
5.0000000000000	2.2483708414966
5.0500000000000	1.9794817258332
5.1000000000000	1.8247506585511
5.1500000000000	1.3076157751585
5.2000000000000	1.2700121238571
5.2500000000000	1.5785140226326
5.3000000000000	1.7206082153815
5.3500000000000	2.1347532417530
5.4000000000000	3.1362614561051
5.4500000000000	3.2133740134815
5.5000000000000	2.9288184818050
5.5500000000000	2.9634641121608
5.6000000000000	2.8287444806976
5.6500000000000	2.2239984041860
5.7000000000000	1.2513804088076
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=130; flareDiameter=130; flareLength=70; gratingDistance=60.81; gratingGap=5.2; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=11.81; probe2Length=12.71; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=9; wireDiameter=2}
#"Frequency / GHz"	"Boresight AR (Port 2) [Real Part]"
#-----------------------------------------------------
4.7000000000000	20.638484340447
4.7500000000000	2.5278382861376
4.8000000000000	0.83118440309416
4.8500000000000	2.3741964415664
4.9000000000000	2.1819913316315
4.9500000000000	2.4261123120792
5.0000000000000	2.3129470508847
5.0500000000000	2.0028108799763
5.1000000000000	1.6935050769289
5.1500000000000	1.3644228249302
5.2000000000000	1.6252428052274
5.2500000000000	1.7453692570098
5.3000000000000	2.0614900937660
5.3500000000000	3.1727701861351
5.4000000000000	4.6708624603642
5.4500000000000	4.8092388049823
5.5000000000000	3.8686742380412
5.5500000000000	2.2707912532655
5.6000000000000	0.15230956330223
5.6500000000000	2.4281964629104
5.7000000000000	4.0765553663155
