#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=130; flareDiameter=130; flareLength=70; gratingDistance=60.81; gratingGap=5.2; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=11.81; probe2Length=12.71; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=9; wireDiameter=2}
#"Theta / deg"	"Gain (port 1) []"
#--------------------------------
-180.00000000000	-6.5796559726178
-175.00000000000	-7.3029474095896
-170.00000000000	-7.3419870950483
-165.00000000000	-9.0755295260846
-160.00000000000	-14.436224601988
-155.00000000000	-15.820481973142
-150.00000000000	-16.440789635939
-145.00000000000	-26.584232944184
-140.00000000000	-16.418516336103
-135.00000000000	-24.947094988752
-130.00000000000	-15.762440787407
-125.00000000000	-22.334423106032
-120.00000000000	-17.198187240665
-115.00000000000	-23.037494169112
-110.00000000000	-17.775874776648
-105.00000000000	-18.339991737382
-100.00000000000	-16.904942277762
-95.000000000000	-14.657868042142
-90.000000000000	-14.990116352205
-85.000000000000	-12.139407954953
-80.000000000000	-11.704901763370
-75.000000000000	-9.5211781740231
-70.000000000000	-8.4152829980814
-65.000000000000	-7.3287345238748
-60.000000000000	-6.9191997630024
-55.000000000000	-7.5392788273671
-50.000000000000	-9.4081002878159
-45.000000000000	-12.625980520383
-40.000000000000	-7.1822684406180
-35.000000000000	-1.0394832274801
-30.000000000000	3.4825065948197
-25.000000000000	6.6494903804161
-20.000000000000	9.0017392373904
-15.000000000000	10.787656032360
-10.000000000000	12.089978224307
-5.0000000000000	13.008582787152
0.0000000000000	13.612301575132
5.0000000000000	13.894311908873
10.000000000000	13.798749468857
15.000000000000	13.275582076480
20.000000000000	12.325569330761
25.000000000000	10.992813991929
30.000000000000	9.2952576825724
35.000000000000	7.3335457491589
40.000000000000	5.5630381941886
45.000000000000	4.0709084689403
50.000000000000	2.5235481859459
55.000000000000	1.4795849571950
60.000000000000	0.054522259869520
65.000000000000	-1.1874032944758
70.000000000000	-2.7885515434815
75.000000000000	-4.0878634005081
80.000000000000	-5.7942650376470
85.000000000000	-6.2984594126800
90.000000000000	-7.7190868685385
95.000000000000	-7.1614529230454
100.00000000000	-8.5824519813832
105.00000000000	-8.2936907068845
110.00000000000	-10.311901978543
115.00000000000	-10.867684194323
120.00000000000	-11.629701187760
125.00000000000	-11.024914530974
130.00000000000	-9.4488164795945
135.00000000000	-8.2035987020266
140.00000000000	-9.3620272434032
145.00000000000	-9.2052208170517
150.00000000000	-11.763395380652
155.00000000000	-19.386235364536
160.00000000000	-11.370172963562
165.00000000000	-6.0058473128520
170.00000000000	-4.4333546995107
175.00000000000	-5.0284406277303
180.00000000000	-6.5796559726178
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=130; flareDiameter=130; flareLength=70; gratingDistance=60.81; gratingGap=5.2; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=15.62; probe1Length=12.32; probe2Diameter=1.3; probe2Distance=11.81; probe2Length=12.71; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=9; wireDiameter=2}
#"Theta / deg"	"Gain (port 2) []"
#--------------------------------
-180.00000000000	-8.2117120139827
-175.00000000000	-7.6305750861841
-170.00000000000	-8.8938717695078
-165.00000000000	-12.240261858700
-160.00000000000	-18.634771458796
-155.00000000000	-31.551979659333
-150.00000000000	-22.293807029761
-145.00000000000	-16.779533007158
-140.00000000000	-21.222103418899
-135.00000000000	-20.620444882977
-130.00000000000	-19.689349799899
-125.00000000000	-27.551761680518
-120.00000000000	-24.127246929787
-115.00000000000	-24.828059814796
-110.00000000000	-30.063280371656
-105.00000000000	-22.576004227876
-100.00000000000	-33.014468821414
-95.000000000000	-22.340416612100
-90.000000000000	-28.415448657750
-85.000000000000	-21.821522793280
-80.000000000000	-23.722977435314
-75.000000000000	-17.917504645560
-70.000000000000	-17.478174646758
-65.000000000000	-12.520640475695
-60.000000000000	-10.873846012032
-55.000000000000	-7.8901703269146
-50.000000000000	-6.6067261377083
-45.000000000000	-5.2281244758711
-40.000000000000	-5.5307322697231
-35.000000000000	-5.2631159381787
-30.000000000000	-3.2535267997551
-25.000000000000	0.80052690153613
-20.000000000000	4.7689052507863
-15.000000000000	7.8577622147468
-10.000000000000	10.083376684600
-5.0000000000000	11.476112141618
0.0000000000000	12.070157819763
5.0000000000000	11.904952211036
10.000000000000	11.019577130386
15.000000000000	9.4682380211506
20.000000000000	7.3724543450635
25.000000000000	5.0359238855635
30.000000000000	3.0199171188416
35.000000000000	1.7885149729618
40.000000000000	0.90824564912256
45.000000000000	-0.29822417346832
50.000000000000	-1.3732132847501
55.000000000000	-3.2088604625644
60.000000000000	-5.1334939479864
65.000000000000	-7.2006928010516
70.000000000000	-9.4640108230327
75.000000000000	-11.195710148391
80.000000000000	-12.707588241570
85.000000000000	-14.025748101430
